CustomerID	EmployeeID	SaleDate	SubTotal	Tax	Total
1	1	12/14/2012	3500	290.5	3790.5
2	2	12/15/2012	1000	83	1083
3	3	12/15/2012	50	4.15	54.15
4	4	12/23/2012	45	3.74	48.74
1	5	1/5/2013	250	20.75	270.75
5	5	1/10/2013	750	62.25	812.25
6	3	1/12/2013	250	20.75	270.75
2	2	1/15/2013	3000	249	3249
5	1	1/25/2013	350	29.05	379.05
7	4	2/4/2013	14250	1182.75	15432.75
8	2	2/4/2013	250	20.75	270.75
5	3	2/7/2013	50	4.15	54.15
9	4	2/7/2013	4500	373.5	4873.5
10	5	2/11/2013	3675	305.03	3980.03
2	5	2/11/2013	800	66.4	866.4
